packet_counter,decrypt_time_ns,decrypt_time_us
698,156338,156.338
699,88103,88.103
700,76426,76.426
701,64670,64.67
702,98502,98.502
703,89531,89.531
704,83447,83.447
705,67825,67.825
706,108840,108.84
707,103175,103.175
708,161713,161.713
709,90421,90.421
710,95525,95.525
711,99983,99.983
712,94704,94.704
713,73760,73.76
714,96419,96.419
715,80644,80.644
716,71282,71.282
717,97471,97.471
718,89533,89.533
719,78427,78.427
720,58456,58.456
721,71923,71.923
722,160357,160.357
723,71130,71.13
724,101199,101.199
725,96841,96.841
726,291491,291.491
727,73426,73.426
728,70810,70.81
729,69731,69.731
730,76912,76.912
731,73361,73.361
732,223475,223.475
733,70652,70.652
734,77532,77.532
735,94472,94.472
736,83515,83.515
737,71845,71.845
738,92438,92.438
739,64528,64.528
740,243188,243.188
741,74641,74.641
742,87413,87.413
743,79533,79.533
744,126750,126.75
745,79680,79.68
746,132910,132.91
747,59991,59.991
748,95495,95.495
749,73016,73.016
750,56778,56.778
751,71867,71.867
752,101763,101.763
753,216434,216.434
754,61346,61.346
755,68669,68.669
756,67251,67.251
757,100300,100.3
758,588948,588.948
759,112493,112.493
760,83998,83.998
761,80772,80.772
762,74943,74.943
763,72289,72.289
764,68305,68.305
765,70290,70.29
766,70940,70.94
767,106821,106.821
768,84707,84.707
769,76485,76.485
770,140410,140.41
771,95982,95.982
772,95555,95.555
773,100024,100.024
774,67031,67.031
775,59714,59.714
776,89008,89.008
777,84601,84.601
778,95063,95.063
779,89921,89.921
780,127766,127.766
781,80916,80.916
782,93105,93.105
783,119901,119.901
784,83130,83.13
785,66643,66.643
786,95221,95.221
787,114598,114.598
788,122014,122.014
789,101584,101.584
790,195603,195.603
791,71901,71.901
792,162540,162.54
793,112940,112.94
794,70207,70.207
795,66912,66.912
796,228278,228.278
797,72249,72.249
798,165813,165.813
799,129832,129.832
800,74296,74.296
801,98384,98.384
802,295607,295.607
803,85053,85.053
804,139418,139.418
805,79703,79.703
806,77184,77.184
807,63812,63.812
808,275154,275.154
809,101749,101.749
810,153744,153.744
811,477544,477.544
812,96875,96.875
813,79348,79.348
814,89351,89.351
815,91976,91.976
816,140695,140.695
817,100553,100.553
818,61716,61.716
819,64880,64.88
820,88454,88.454
821,59659,59.659
822,71478,71.478
823,74052,74.052
824,75477,75.477
825,67281,67.281
826,132897,132.897
827,239274,239.274
828,105409,105.409
829,102336,102.336
830,67306,67.306
831,73104,73.104
832,64453,64.453
833,48621,48.621
834,78546,78.546
835,78220,78.22
836,96854,96.854
837,117305,117.305
838,442527,442.527
839,68372,68.372
840,89023,89.023
841,63477,63.477
842,379212,379.212
843,98112,98.112
844,73521,73.521
845,88395,88.395
846,130715,130.715
847,71248,71.248
848,60172,60.172
849,158303,158.303
850,79919,79.919
851,86686,86.686
852,99202,99.202
853,71876,71.876
854,393478,393.478
855,73792,73.792
856,69855,69.855
857,68905,68.905
858,84994,84.994
859,58831,58.831
860,228733,228.733
861,106494,106.494
862,84227,84.227
863,101709,101.709
864,78634,78.634
865,68092,68.092
866,281021,281.021
867,102427,102.427
868,114548,114.548
869,103530,103.53
870,306891,306.891
871,57240,57.24
872,92955,92.955
873,77466,77.466
874,115533,115.533
875,120591,120.591
876,68076,68.076
877,79930,79.93
878,241745,241.745
879,70138,70.138
880,108409,108.409
881,147161,147.161
882,291667,291.667
883,165742,165.742
884,85410,85.41
885,150633,150.633
886,115897,115.897
887,86988,86.988
888,105765,105.765
889,84758,84.758
890,118614,118.614
891,76813,76.813
892,366069,366.069
893,110149,110.149
894,61126,61.126
895,87741,87.741
896,131825,131.825
897,72251,72.251
898,94343,94.343
899,109203,109.203
900,82919,82.919
901,73826,73.826
902,92948,92.948
903,100769,100.769
904,83124,83.124
905,60667,60.667
906,302828,302.828
907,73598,73.598
908,76053,76.053
909,99335,99.335
910,85187,85.187
911,166325,166.325
912,105116,105.116
913,81530,81.53
914,76713,76.713
915,105192,105.192
916,158722,158.722
917,100241,100.241
918,84488,84.488
919,129073,129.073
920,84313,84.313
921,63329,63.329
922,71857,71.857
923,90546,90.546
924,76959,76.959
925,77310,77.31
926,68971,68.971
927,73464,73.464
928,55830,55.83
929,64837,64.837
930,68898,68.898
931,74002,74.002
932,141861,141.861
933,52175,52.175
934,51565,51.565
935,63988,63.988
936,80659,80.659
937,61397,61.397
938,153443,153.443
939,78452,78.452
940,70210,70.21
941,55342,55.342
942,67823,67.823
943,126350,126.35
944,71876,71.876
945,73785,73.785
946,70567,70.567
947,68293,68.293
948,78519,78.519
949,58189,58.189
950,75228,75.228
951,54080,54.08
952,91060,91.06
953,82282,82.282
954,127594,127.594
955,730661,730.661
956,242638,242.638
957,107112,107.112
958,159577,159.577
959,109924,109.924
960,122013,122.013
961,77729,77.729
962,124874,124.874
963,106388,106.388
964,92042,92.042
965,102702,102.702
966,74917,74.917
967,104109,104.109
968,91156,91.156
969,82381,82.381
970,73030,73.03
971,142599,142.599
972,78598,78.598
973,65837,65.837
974,69021,69.021
975,54877,54.877
976,135213,135.213
977,76787,76.787
978,508668,508.668
979,83741,83.741
980,335560,335.56
981,94994,94.994
982,117096,117.096
983,92484,92.484
984,91246,91.246
985,78898,78.898
986,84043,84.043
987,93992,93.992
988,336708,336.708
989,141651,141.651
990,90037,90.037
991,96868,96.868
992,106371,106.371
993,109833,109.833
994,592163,592.163
995,82648,82.648
996,82698,82.698
997,149030,149.03
998,86139,86.139
999,182646,182.646
1000,78576,78.576
1001,170213,170.213
1002,115611,115.611
1003,296307,296.307
1004,311706,311.706
1005,102247,102.247
1006,530082,530.082
1007,143961,143.961
1008,112169,112.169
1009,76020,76.02
1010,109691,109.691
1011,82856,82.856
1012,95893,95.893
1013,97682,97.682
1014,95989,95.989
1015,102541,102.541
1016,99260,99.26
1017,92136,92.136
1018,94711,94.711
1019,93608,93.608
1020,122803,122.803
1021,109490,109.49
1022,219421,219.421
1023,100659,100.659
1024,86021,86.021
1025,96770,96.77
1026,227670,227.67
1027,77463,77.463
1028,75929,75.929
1029,120231,120.231
1030,302985,302.985
1031,105892,105.892
1032,82872,82.872
1033,128302,128.302
1034,271211,271.211
1035,91923,91.923
1036,112577,112.577
1037,92800,92.8
1038,102146,102.146
1039,127324,127.324
1040,316238,316.238
1041,101603,101.603
1042,99190,99.19
1043,266579,266.579
1044,182010,182.01
1045,131347,131.347
1046,203261,203.261
1047,139198,139.198
1048,120354,120.354
1049,87778,87.778
1050,88182,88.182
1051,71044,71.044
1052,487791,487.791
1053,89458,89.458
1054,287058,287.058
1055,232511,232.511
1056,98358,98.358
1057,102356,102.356
1058,109730,109.73
1059,77935,77.935
1060,83052,83.052
1061,112100,112.1
1062,95684,95.684
1063,133462,133.462
1064,124751,124.751
1065,115542,115.542
1066,129995,129.995
1067,73759,73.759
1068,77036,77.036
1069,71450,71.45
1070,329749,329.749
1071,95504,95.504
1072,75320,75.32
1073,77960,77.96
1074,72649,72.649
1075,270943,270.943
1076,159521,159.521
1077,149796,149.796
1078,108522,108.522
1079,130889,130.889
1080,274512,274.512
1081,291812,291.812
1082,106651,106.651
1083,88680,88.68
1084,119319,119.319
1085,96740,96.74
1086,134138,134.138
1087,102251,102.251
1088,301239,301.239
1089,89340,89.34
1090,104879,104.879
1091,116364,116.364
1092,86562,86.562
1093,110206,110.206
1094,378863,378.863
1095,132839,132.839
1096,82207,82.207
1097,77475,77.475
1098,77199,77.199
1099,178827,178.827
1100,87224,87.224
1101,85717,85.717
1102,81319,81.319
1103,129754,129.754
1104,109497,109.497
1105,66183,66.183
1106,100981,100.981
1107,63946,63.946
1108,76412,76.412
1109,76509,76.509
1110,300665,300.665
1111,116456,116.456
1112,81207,81.207
1113,94252,94.252
1114,297962,297.962
1115,141007,141.007
1116,92920,92.92
1117,125703,125.703
1118,86354,86.354
1119,82822,82.822
1120,104900,104.9
1121,143398,143.398
1122,132397,132.397
1123,100523,100.523
1124,99180,99.18
1125,384818,384.818
1126,250451,250.451
1127,108736,108.736
1128,128039,128.039
1129,101456,101.456
1130,455740,455.74
1131,128738,128.738
1132,139983,139.983
1133,152284,152.284
1134,96316,96.316
1135,156466,156.466
1136,112614,112.614
1137,96492,96.492
1138,142560,142.56
1139,120238,120.238
1140,143952,143.952
1141,239979,239.979
1142,279780,279.78
1143,111198,111.198
1144,102195,102.195
1145,97243,97.243
1146,151615,151.615
1147,97526,97.526
1148,136022,136.022
1149,110290,110.29
1150,112617,112.617
1151,83095,83.095
1152,90412,90.412
1153,107588,107.588
1154,91863,91.863
1155,113559,113.559
1156,124739,124.739
1157,91949,91.949
1158,132845,132.845
1159,108483,108.483
1160,75513,75.513
1161,91724,91.724
1162,82407,82.407
1163,87544,87.544
1164,85615,85.615
1165,93966,93.966
1166,113820,113.82
1167,92256,92.256
1168,62029,62.029
1169,56632,56.632
1170,88556,88.556
1171,92954,92.954
1172,57700,57.7
1173,93557,93.557
1174,52647,52.647
1175,74565,74.565
1176,109458,109.458
1177,90367,90.367
1178,81583,81.583
1179,74011,74.011
1180,107865,107.865
1181,94101,94.101
1182,274342,274.342
1183,66524,66.524
1184,73188,73.188
1185,76426,76.426
1186,82124,82.124
1187,73280,73.28
1188,83912,83.912
1189,74726,74.726
1190,70963,70.963
1191,230879,230.879
1192,79222,79.222
1193,60322,60.322
1194,67934,67.934
1195,86097,86.097
1196,84074,84.074
1197,58107,58.107
1198,63746,63.746
1199,207488,207.488
1200,127593,127.593
1201,140576,140.576
1202,126235,126.235
1203,153677,153.677
1204,89361,89.361
1205,408887,408.887
1206,184540,184.54
1207,94247,94.247
1208,104866,104.866
1209,91998,91.998
1210,109085,109.085
1211,109803,109.803
1212,92155,92.155
1213,103473,103.473
1214,96213,96.213
1215,105108,105.108
1216,77100,77.1
1217,86525,86.525
1218,95639,95.639
1219,86601,86.601
1220,98503,98.503
1221,273913,273.913
1222,91753,91.753
1223,89596,89.596
1224,81159,81.159
1225,86241,86.241
1226,125264,125.264
1227,80494,80.494
1228,100586,100.586
1229,100295,100.295
1230,86221,86.221
1231,103376,103.376
1232,117981,117.981
1233,128170,128.17
1234,114111,114.111
1235,133651,133.651
1236,170028,170.028
1237,94865,94.865
1238,132129,132.129
1239,118131,118.131
1240,117081,117.081
1241,112399,112.399
1242,105909,105.909
1243,96659,96.659
1244,112172,112.172
1245,127761,127.761
1246,111399,111.399
1247,130025,130.025
1248,147173,147.173
1249,86537,86.537
1250,88615,88.615
1251,144861,144.861
1252,87568,87.568
1253,165336,165.336
1254,82247,82.247
1255,88208,88.208
1256,135969,135.969
1257,120569,120.569
1258,147759,147.759
1259,95299,95.299
1260,116152,116.152
1261,99257,99.257
1262,91471,91.471
1263,87522,87.522
1264,76925,76.925
1265,96831,96.831
1266,145289,145.289
1267,112704,112.704
1268,78148,78.148
1269,102243,102.243
1270,119571,119.571
1271,71799,71.799
1272,151033,151.033
1273,67123,67.123
1274,107868,107.868
1275,82774,82.774
1276,107787,107.787
1277,65172,65.172
1278,94594,94.594
1279,97592,97.592
1280,90397,90.397
1281,86195,86.195
1282,66593,66.593
1283,90709,90.709
1284,84995,84.995
1285,132063,132.063
1286,115084,115.084
1287,122066,122.066
1288,154894,154.894
1289,81509,81.509
1290,155873,155.873
1291,90031,90.031
1292,60224,60.224
1293,80654,80.654
1294,128335,128.335
1295,91786,91.786
1296,97718,97.718
1297,78457,78.457
1298,85780,85.78
1299,54703,54.703
1300,76953,76.953
1301,88331,88.331
1302,209457,209.457
1303,78662,78.662
1304,90927,90.927
1305,70281,70.281
1306,104324,104.324
1307,146032,146.032
1308,106921,106.921
1309,284517,284.517
1310,110633,110.633
1311,249080,249.08
1312,101985,101.985
1313,129355,129.355
1314,96417,96.417
1315,104837,104.837
1316,362426,362.426
1317,143027,143.027
1318,120142,120.142
1319,116444,116.444
1320,103726,103.726
1321,518038,518.038
1322,332251,332.251
1323,124214,124.214
1324,110192,110.192
1325,128238,128.238
1326,368434,368.434
1327,158347,158.347
1328,157872,157.872
1329,123689,123.689
1330,113239,113.239
1331,263792,263.792
1332,106054,106.054
1333,149978,149.978
1334,224395,224.395
1335,104150,104.15
1336,227630,227.63
1337,103418,103.418
1338,144400,144.4
1339,196813,196.813
1340,104312,104.312
1341,336722,336.722
1342,129886,129.886
1343,111569,111.569
1344,148033,148.033
1345,102282,102.282
1346,137963,137.963
1347,96680,96.68
1348,111544,111.544
1349,88619,88.619
1350,133497,133.497
1351,163970,163.97
1352,97210,97.21
1353,113988,113.988
1354,114611,114.611
1355,103231,103.231
1356,179138,179.138
1357,99829,99.829
1358,119561,119.561
1359,130054,130.054
1360,104143,104.143
1361,119229,119.229
1362,97494,97.494
1363,118647,118.647
1364,93954,93.954
1365,110284,110.284
1366,116017,116.017
1367,172309,172.309
1368,117142,117.142
1369,145412,145.412
1370,89694,89.694
1371,72976,72.976
1372,74972,74.972
1373,120105,120.105
1374,62866,62.866
1375,69166,69.166
1376,84943,84.943
1377,100370,100.37
1378,113838,113.838
1379,101659,101.659
1380,114380,114.38
1381,209809,209.809
1382,145103,145.103
1383,73577,73.577
1384,65283,65.283
1385,92878,92.878
1386,119011,119.011
1387,89144,89.144
1388,82898,82.898
1389,77089,77.089
1390,82743,82.743
1391,175191,175.191
1392,69077,69.077
1393,68063,68.063
1394,89207,89.207
1395,82646,82.646
1396,102824,102.824
1397,71905,71.905
1398,74727,74.727
1399,64173,64.173
1400,249472,249.472
1401,59381,59.381
1402,57029,57.029
1403,65850,65.85
1404,72201,72.201
1405,79953,79.953
1406,143416,143.416
1407,91911,91.911
1408,78081,78.081
1409,163209,163.209
1410,99509,99.509
1411,83081,83.081
1412,126725,126.725
1413,92710,92.71
1414,85141,85.141
1415,68895,68.895
1416,58961,58.961
1417,62458,62.458
1418,83172,83.172
1419,66146,66.146
1420,67322,67.322
1421,68316,68.316
1422,64343,64.343
1423,62131,62.131
1424,59746,59.746
1425,64843,64.843
1426,63229,63.229
1427,73094,73.094
1428,63916,63.916
1429,55763,55.763
1430,55132,55.132
1431,81303,81.303
1432,45830,45.83
1433,76743,76.743
1434,82894,82.894
1435,79408,79.408
1436,103554,103.554
1437,126460,126.46
1438,110359,110.359
1439,99488,99.488
1440,87826,87.826
1441,145823,145.823
1442,243507,243.507
1443,72953,72.953
1444,164760,164.76
1445,102313,102.313
1446,81835,81.835
1447,91474,91.474
1448,114053,114.053
1449,75300,75.3
1450,97302,97.302
1451,144845,144.845
1452,83695,83.695
1453,81499,81.499
1454,69279,69.279
1455,85178,85.178
1456,127424,127.424
1457,96540,96.54
1458,157157,157.157
1459,109153,109.153
1460,114695,114.695
1461,108730,108.73
1462,55211,55.211
1463,84001,84.001
1464,62535,62.535
1465,87120,87.12
1466,246376,246.376
1467,90536,90.536
1468,80351,80.351
1469,67326,67.326
1470,85097,85.097
1471,88591,88.591
1472,59794,59.794
1473,65058,65.058
1474,74979,74.979
1475,75594,75.594
1476,78119,78.119
1477,51976,51.976
1478,76404,76.404
1479,122776,122.776
1480,62702,62.702
1481,89670,89.67
1482,134015,134.015
1483,66817,66.817
1484,58279,58.279
1485,69149,69.149
1486,105331,105.331
1487,107826,107.826
1488,88023,88.023
1489,72602,72.602
1490,69869,69.869
1491,76380,76.38
