packet_counter,decrypt_time_ns,decrypt_time_us
613,62063,62.063
614,65295,65.295
615,49817,49.817
616,66773,66.773
617,61762,61.762
618,80888,80.888
619,77886,77.886
620,248434,248.434
621,65358,65.358
622,62518,62.518
623,78122,78.122
624,71249,71.249
625,62447,62.447
626,88693,88.693
627,95636,95.636
628,79343,79.343
629,67701,67.701
630,164048,164.048
631,49886,49.886
632,44961,44.961
633,49501,49.501
634,57135,57.135
635,46966,46.966
636,60238,60.238
637,43194,43.194
638,48524,48.524
639,49499,49.499
640,42919,42.919
641,58950,58.95
642,48019,48.019
643,85030,85.03
644,65834,65.834
645,57018,57.018
646,57174,57.174
647,40992,40.992
648,49336,49.336
649,48393,48.393
650,155741,155.741
651,48422,48.422
652,45974,45.974
653,49343,49.343
654,46580,46.58
655,58399,58.399
656,164932,164.932
657,59086,59.086
658,53862,53.862
659,58446,58.446
660,52828,52.828
661,57916,57.916
662,50126,50.126
663,55710,55.71
664,51040,51.04
665,45143,45.143
666,46884,46.884
667,44851,44.851
668,49094,49.094
669,52759,52.759
670,1282738,1282.738
671,66257,66.257
672,52643,52.643
673,54927,54.927
674,52318,52.318
675,42941,42.941
676,123638,123.638
677,75646,75.646
678,69283,69.283
679,72117,72.117
680,55493,55.493
681,67542,67.542
682,52093,52.093
683,53926,53.926
684,586398,586.398
685,42931,42.931
686,47541,47.541
687,41985,41.985
688,51945,51.945
689,45757,45.757
690,46769,46.769
691,50145,50.145
692,46279,46.279
693,49332,49.332
694,49948,49.948
695,43861,43.861
696,47005,47.005
697,43569,43.569
698,44957,44.957
699,48984,48.984
700,52446,52.446
701,65131,65.131
702,55941,55.941
703,140648,140.648
704,168469,168.469
705,65183,65.183
706,188413,188.413
707,56895,56.895
708,71446,71.446
709,56814,56.814
710,53639,53.639
711,55950,55.95
712,166141,166.141
713,62793,62.793
714,57864,57.864
715,50752,50.752
716,87274,87.274
717,63616,63.616
718,175115,175.115
719,62585,62.585
720,78607,78.607
721,75554,75.554
722,196276,196.276
723,81782,81.782
724,77132,77.132
725,82814,82.814
726,66315,66.315
727,51137,51.137
728,81004,81.004
729,70877,70.877
730,65070,65.07
731,48758,48.758
732,51657,51.657
733,48899,48.899
734,50338,50.338
735,44965,44.965
736,50798,50.798
737,50158,50.158
738,55365,55.365
739,49933,49.933
740,46791,46.791
741,55338,55.338
742,46351,46.351
743,79137,79.137
744,58441,58.441
745,57022,57.022
746,52333,52.333
747,42527,42.527
748,52258,52.258
749,50171,50.171
750,45578,45.578
751,47357,47.357
752,97478,97.478
753,53374,53.374
754,51075,51.075
755,53082,53.082
756,57599,57.599
757,51190,51.19
758,68320,68.32
759,49012,49.012
760,44628,44.628
761,43887,43.887
762,41264,41.264
763,64060,64.06
764,66498,66.498
765,104682,104.682
766,47986,47.986
767,41908,41.908
768,52388,52.388
769,51486,51.486
770,44763,44.763
771,49873,49.873
772,40654,40.654
773,44775,44.775
774,44606,44.606
775,52279,52.279
776,73065,73.065
777,58913,58.913
778,526584,526.584
779,75850,75.85
780,66548,66.548
781,58813,58.813
782,162758,162.758
783,47425,47.425
784,49858,49.858
785,42229,42.229
786,47450,47.45
787,47968,47.968
788,52223,52.223
789,48884,48.884
790,43603,43.603
791,47715,47.715
792,48490,48.49
793,49485,49.485
794,49446,49.446
795,43380,43.38
796,210468,210.468
797,44173,44.173
798,168409,168.409
799,69065,69.065
800,79767,79.767
801,65928,65.928
802,64296,64.296
803,70974,70.974
804,68235,68.235
805,60554,60.554
806,69808,69.808
807,48229,48.229
808,64125,64.125
809,54821,54.821
810,165617,165.617
811,55492,55.492
812,52802,52.802
813,62969,62.969
814,58016,58.016
815,58066,58.066
816,84138,84.138
817,63149,63.149
818,409829,409.829
819,99258,99.258
820,291155,291.155
821,70195,70.195
822,76646,76.646
823,85727,85.727
824,67805,67.805
825,56028,56.028
826,81057,81.057
827,85982,85.982
828,75308,75.308
829,59859,59.859
830,78199,78.199
831,64428,64.428
832,57842,57.842
833,55334,55.334
834,166578,166.578
835,42603,42.603
836,49958,49.958
837,50507,50.507
