packet_counter,encrypt_time_ns,encrypt_time_us
583,77238,77.238
584,95579,95.579
585,84519,84.519
586,153186,153.186
587,90618,90.618
588,113280,113.28
589,109334,109.334
590,98654,98.654
591,100502,100.502
592,95314,95.314
593,86999,86.999
594,95669,95.669
595,131733,131.733
596,114711,114.711
597,95570,95.57
598,82575,82.575
599,82391,82.391
600,286668,286.668
601,73447,73.447
602,88975,88.975
603,103569,103.569
604,76695,76.695
605,86959,86.959
606,89802,89.802
607,69766,69.766
608,62582,62.582
609,67958,67.958
610,63769,63.769
611,132413,132.413
612,93719,93.719
613,93141,93.141
614,122842,122.842
615,75775,75.775
616,58211,58.211
617,65943,65.943
618,63104,63.104
619,66495,66.495
620,78377,78.377
621,73468,73.468
622,64863,64.863
623,103260,103.26
624,73441,73.441
625,83567,83.567
626,70593,70.593
627,70521,70.521
628,81957,81.957
629,79836,79.836
630,79713,79.713
631,68809,68.809
632,76264,76.264
633,72890,72.89
634,75820,75.82
635,90039,90.039
636,44954,44.954
637,61028,61.028
638,54272,54.272
639,66080,66.08
640,62145,62.145
641,59321,59.321
642,63282,63.282
643,58528,58.528
644,69605,69.605
645,260435,260.435
646,98574,98.574
647,95394,95.394
648,61591,61.591
649,64410,64.41
650,169353,169.353
651,59192,59.192
652,211722,211.722
653,87235,87.235
654,74998,74.998
655,74772,74.772
656,59525,59.525
657,66465,66.465
658,54716,54.716
659,61633,61.633
660,62247,62.247
661,107043,107.043
662,127116,127.116
663,81784,81.784
664,64708,64.708
665,63711,63.711
666,99669,99.669
667,66613,66.613
668,121525,121.525
669,104467,104.467
670,101086,101.086
671,1141810,1141.81
672,113428,113.428
673,83839,83.839
674,94358,94.358
675,81039,81.039
676,68109,68.109
677,93948,93.948
678,66982,66.982
679,102473,102.473
680,111857,111.857
681,74353,74.353
682,105831,105.831
683,69590,69.59
684,96944,96.944
685,88919,88.919
686,106946,106.946
687,83676,83.676
688,128079,128.079
689,124354,124.354
690,192134,192.134
691,110153,110.153
692,133483,133.483
693,63567,63.567
694,112091,112.091
695,94764,94.764
696,96911,96.911
697,76476,76.476
698,100840,100.84
699,65917,65.917
700,88750,88.75
701,70703,70.703
702,82538,82.538
703,64354,64.354
704,79082,79.082
705,94882,94.882
706,70135,70.135
707,61854,61.854
708,68562,68.562
709,70727,70.727
710,67328,67.328
711,64143,64.143
712,61315,61.315
713,202756,202.756
714,108433,108.433
715,126488,126.488
716,71854,71.854
717,82350,82.35
718,218001,218.001
719,72335,72.335
720,93270,93.27
721,64522,64.522
722,71209,71.209
723,71910,71.91
724,84648,84.648
725,85319,85.319
726,64648,64.648
727,74445,74.445
728,68768,68.768
729,197353,197.353
730,78299,78.299
731,75334,75.334
732,71679,71.679
733,68135,68.135
734,96102,96.102
735,92426,92.426
736,60197,60.197
737,72872,72.872
738,63623,63.623
739,61789,61.789
740,57929,57.929
741,70927,70.927
742,66172,66.172
743,61950,61.95
744,72958,72.958
745,100175,100.175
746,95319,95.319
747,103176,103.176
748,76375,76.375
749,79665,79.665
750,153714,153.714
751,49725,49.725
752,60712,60.712
753,56323,56.323
754,62378,62.378
755,77547,77.547
756,77029,77.029
757,67282,67.282
758,60627,60.627
759,67086,67.086
760,62523,62.523
761,62801,62.801
762,100558,100.558
763,58960,58.96
764,177707,177.707
765,78257,78.257
766,75643,75.643
767,91402,91.402
768,101977,101.977
769,131491,131.491
770,86253,86.253
771,72835,72.835
772,82683,82.683
773,65024,65.024
774,110281,110.281
775,96226,96.226
776,103407,103.407
777,67161,67.161
778,86063,86.063
779,92794,92.794
780,94321,94.321
781,89770,89.77
782,128602,128.602
783,60765,60.765
784,94610,94.61
785,103039,103.039
786,109270,109.27
787,103096,103.096
788,72545,72.545
789,112941,112.941
790,95844,95.844
791,94044,94.044
792,121164,121.164
793,90591,90.591
794,94830,94.83
795,97243,97.243
796,108376,108.376
797,103146,103.146
798,127102,127.102
799,52247,52.247
800,113760,113.76
801,65561,65.561
802,79427,79.427
803,79627,79.627
804,62838,62.838
805,76668,76.668
806,106584,106.584
807,65516,65.516
808,61271,61.271
809,70968,70.968
810,65638,65.638
811,60931,60.931
812,62362,62.362
813,95057,95.057
814,95887,95.887
815,179112,179.112
816,84124,84.124
817,92369,92.369
818,94634,94.634
819,125262,125.262
820,422611,422.611
821,139764,139.764
822,111414,111.414
823,80741,80.741
824,82084,82.084
825,114038,114.038
826,62681,62.681
827,86902,86.902
828,70031,70.031
829,78369,78.369
830,85969,85.969
831,195363,195.363
832,119735,119.735
833,60803,60.803
834,63501,63.501
835,80674,80.674
836,64891,64.891
837,57456,57.456
838,62898,62.898
839,76614,76.614
840,106812,106.812
841,111276,111.276
842,62986,62.986
843,58787,58.787
844,82182,82.182
845,87774,87.774
846,102749,102.749
847,171937,171.937
848,61865,61.865
849,69344,69.344
850,70536,70.536
851,64106,64.106
852,71081,71.081
853,72428,72.428
854,120968,120.968
855,155886,155.886
856,67285,67.285
857,78071,78.071
858,94173,94.173
859,67955,67.955
860,124058,124.058
861,61979,61.979
862,59678,59.678
863,53872,53.872
864,65928,65.928
865,53267,53.267
866,99137,99.137
867,97859,97.859
868,77743,77.743
869,118842,118.842
870,230530,230.53
871,82764,82.764
872,94006,94.006
873,74471,74.471
874,77030,77.03
