run,packet,e2e_latency_ms
1,733,1.147032
1,734,1.196861
1,735,3.769875
1,736,1.338005
1,737,1.358986
1,738,1.152039
1,739,1.435995
1,740,1.856089
1,741,1.314878
1,742,1.271009
1,743,1.085997
1,744,1.264095
1,745,1.236200
1,746,1.648188
1,747,1.601219
1,748,1.529932
1,749,1.224041
1,750,1.209021
1,751,1.423120
1,752,0.936031
1,753,1.336098
1,754,1.538992
1,755,1.614094
1,756,1.684904
1,757,1.263857
1,758,1.400948
1,759,1.503944
1,760,1.249075
1,761,1.562834
1,762,1.528978
1,763,1.903057
1,764,1.711130
1,765,1.541138
1,766,1.664162
1,767,1.769066
1,768,1.764059
1,769,1.646996
1,770,1.317024
1,771,1.603127
1,772,1.547098
1,773,1.295090
1,774,1.655102
1,775,1.410961
1,776,1.495123
1,777,3.050089
1,778,1.559973
1,779,1.394987
1,780,1.394987
1,781,1.559973
1,782,1.493931
1,783,1.345873
1,784,1.376867
1,785,2.117157
1,786,1.358032
1,787,1.369953
1,788,1.254082
1,789,2.113104
1,790,2.326012
1,791,4.898071
1,792,1.839161
1,793,2.071857
1,794,2.074003
1,795,2.030849
1,796,2.011061
1,797,2.660990
1,798,2.039194
1,799,2.192020
1,800,3.748894
1,801,1.971006
1,802,1.830101
1,803,1.667976
1,804,1.801014
1,805,2.200127
1,806,1.813889
1,807,2.978086
1,808,1.817942
1,809,2.041101
1,810,1.323938
1,811,1.945019
1,812,3.810167
1,813,2.354145
1,814,2.012014
1,815,1.652956
1,816,1.505852
1,817,1.850128
1,818,2.977133
1,819,3.783941
1,820,1.945972
1,821,1.988173
1,822,2.104044
1,823,2.105951
1,824,2.088070
1,825,1.945019
1,826,1.995087
1,827,1.976967
1,828,1.968145
1,829,1.875877
1,830,1.883030
1,831,1.890898
1,832,1.582146
1,833,1.878023
1,834,1.401901
1,835,3.782034
1,836,1.695156
1,837,2.166986
1,838,5.634069
1,839,2.753019
1,840,1.498938
1,841,2.903938
1,842,1.735926
1,843,4.786968
1,844,2.997160
1,845,4.251957
1,846,1.906872
1,847,2.426147
1,848,1.950979
1,849,2.038956
1,850,1.828909
1,851,1.813889
1,852,1.942158
1,853,5.009890
1,854,2.058983
1,855,1.926899
1,856,2.072096
1,857,1.945019
1,858,1.941919
1,859,2.209902
1,860,1.793861
1,861,2.026081
1,862,2.327919
1,863,2.143860
1,864,2.195120
1,865,2.321005
1,866,1.888037
1,867,2.135992
1,868,1.884222
1,869,1.863003
1,870,2.027035
1,871,1.988173
1,872,1.913071
1,873,2.258062
1,874,3.262043
1,875,2.123117
1,876,1.920938
1,877,2.401114
1,878,2.123117
1,879,2.125025
1,880,2.183914
1,881,2.566099
1,882,1.914024
