packet_counter,encrypt_time_ns,encrypt_time_us
469,87865,87.865
470,147506,147.506
471,78436,78.436
472,84215,84.215
473,144526,144.526
474,81696,81.696
475,80634,80.634
476,136752,136.752
477,81644,81.644
478,157215,157.215
479,167837,167.837
480,134956,134.956
481,78712,78.712
482,164923,164.923
483,149265,149.265
484,86986,86.986
485,72714,72.714
486,68697,68.697
487,126336,126.336
488,95960,95.96
489,102709,102.709
490,174445,174.445
491,82644,82.644
492,142543,142.543
493,189264,189.264
494,84727,84.727
495,92854,92.854
496,79298,79.298
497,73620,73.62
498,402749,402.749
499,147922,147.922
500,109487,109.487
501,78042,78.042
502,182702,182.702
503,221719,221.719
504,150442,150.442
505,82786,82.786
506,103051,103.051
507,68787,68.787
508,52382,52.382
509,155869,155.869
510,81542,81.542
511,83411,83.411
512,104627,104.627
513,80001,80.001
514,85757,85.757
515,77249,77.249
516,73022,73.022
517,71417,71.417
518,102544,102.544
519,77145,77.145
520,83316,83.316
521,75141,75.141
522,95772,95.772
523,61457,61.457
524,82246,82.246
525,92364,92.364
526,64334,64.334
527,135941,135.941
528,74051,74.051
529,75773,75.773
530,66289,66.289
531,68434,68.434
532,146989,146.989
533,93723,93.723
534,139158,139.158
535,106251,106.251
536,81687,81.687
537,97676,97.676
538,73546,73.546
539,66547,66.547
540,65787,65.787
541,72010,72.01
542,157139,157.139
543,190058,190.058
544,95649,95.649
545,151997,151.997
546,423724,423.724
547,88360,88.36
548,84891,84.891
549,163217,163.217
550,136739,136.739
551,81273,81.273
552,174498,174.498
553,102184,102.184
554,94108,94.108
555,148728,148.728
556,79272,79.272
557,74788,74.788
558,94684,94.684
559,84726,84.726
560,175159,175.159
561,135235,135.235
562,78118,78.118
563,65736,65.736
564,74840,74.84
565,71109,71.109
566,57383,57.383
567,95138,95.138
568,114450,114.45
569,112683,112.683
570,118610,118.61
571,62509,62.509
572,113457,113.457
573,110182,110.182
574,134158,134.158
575,66649,66.649
576,78570,78.57
577,98083,98.083
578,191039,191.039
579,108597,108.597
580,131492,131.492
581,102097,102.097
582,139494,139.494
583,88755,88.755
584,88084,88.084
585,126929,126.929
586,72667,72.667
587,112531,112.531
588,82539,82.539
589,153955,153.955
590,104476,104.476
591,93740,93.74
592,110684,110.684
593,80209,80.209
594,105843,105.843
595,85982,85.982
596,87359,87.359
597,101175,101.175
598,87521,87.521
599,127359,127.359
600,118815,118.815
601,91467,91.467
602,115943,115.943
603,93496,93.496
604,68564,68.564
605,68835,68.835
606,144588,144.588
607,113201,113.201
608,166828,166.828
609,86547,86.547
610,98332,98.332
611,95759,95.759
612,74661,74.661
613,138678,138.678
614,67823,67.823
615,99826,99.826
616,81096,81.096
617,106267,106.267
618,143259,143.259
619,85728,85.728
620,171618,171.618
621,109147,109.147
622,88359,88.359
623,81097,81.097
624,96550,96.55
625,82194,82.194
626,92628,92.628
627,99683,99.683
628,81302,81.302
629,84768,84.768
630,121429,121.429
631,76833,76.833
632,197649,197.649
633,159749,159.749
634,81568,81.568
